transition,count,common_words
and the,180,and the, and their, hand the
hat the,143,that the, that they, that there
ing the,135,during the, describing the, king the
for the,120,for the, for their, for themselves
ith the,120,with the, with their, with them
the spe,104,the spectator, the spectator's, the spectators
ect gut,86,project gutenberg
ave bee,84,have been
rom the,80,from the, from them, from their
ich the,78,which the, which they, which these
ion and,75,religion and, imagination and, restoration and
the pro,73,the project, the protestant, the production
the sam,67,the same
the wor,65,the work, the world, the works
the cou,65,the court, the country, the countess
the cha,65,the character, the charge, the characters
the sta,62,the stage, the state, the standard
all the,60,all the, all these, all their
his own,58,his own
the fir,58,the first, the firm
had bee,57,had been
the gre,52,the great, the greatest, the greek
was the,51,was the, was then, was therefore
the con,50,the continent, the consequence, the control
the res,49,the restoration, the resemblance, the result
the pub,48,the public, the publication, the publishers
ted the,48,translated the, accepted the, exhibited the
the poe,46,the poet, the poem, the poet's
ion the,45,foundation the, religion the, question the
uld hav,44,would have, should have, could have
ter the,43,after the, chapter the, after their
the mos,43,the most, the moselle
the tat,42,the tatler, the tatlers
the per,41,the period, the person, the performance
the whi,41,the whigs, the whig, the whirlwind
the pla,41,the play, the place, the plays
der the,40,under the, under these, order the
and tha,40,and that, and that's, hand than
the lat,40,the latter, the latin, the late
was not,39,was not, was notoriously, was notorious
ing and,37,breeding and, king and, feeling and
the pre,37,the press, the present, the preceding
the aut,37,the author, the authority, the autumn
the com,36,the commercial, the comic, the common
nce and,36,performance and, elegance and, violence and
sir rog,36,sir roger, sir roger's
the kin,36,the king, the kingdom, the king's
the nat,35,the nation, the nature, the natural
ted wit,35,acquainted with, associated with, posted with
een the,34,between the, been the, between them
ing his,34,during his, finding his, making his
ers and,34,manners and, volunteers and, somers and
but the,33,but the, but they, but their
ent and,33,sentiment and, frequent and, parliament and
uld not,33,could not, would not, should not
ion tha,32,opinion that, revolution that, reputation than
the oth,32,the other
nce the,31,since the, hence the, assistance the
for his,31,for his
nto the,31,into the, into their, into them
the fre,31,the french, the freeholder, the freedom
son and,30,addison and, reason and, tonson and
the fou,29,the foundation, the four, the foundations
hen the,29,when the, when they, then the
pon the,29,upon the, upon 'then, upon their
hat his,29,that his, 'that his, what his
ugh the,29,through the, though the, though they
the gen,28,the genius, the general, the generosity
and his,28,and his, england his
ent the,28,represent the, moment the, parliament the
hey are,28,they are
ion was,28,lion was, infection was, constitution was
the man,27,the manners, the man, the manner
hat add,27,that addison, that addison's, what addison
the sub,27,the subject, the sublime, the substantial
nic wor,27,electronic works, electronic work
ity and,26,morality and, vanity and, immorality and
sed the,26,oppressed the, possessed the, familiarised the
out the,26,about the, about them, out the
his fri,25,his friend, his friend's, his friends
son was,25,addison was, johnson was, tonson was
the bes,25,the best, the besiegers
ere the,25,were the, where the, were then
hey wer,25,they were
the for,24,the former, the fortunes, the form
ion whi,24,opinion which, admiration which, reputation which
ong the,24,among the, among them, among these
